tconst,titleType,primaryTitle,startYear,genres
tt0070596,movie,Socialist Realism,2023.0,"Drama,History"
tt0164115,movie,Nine Ball,2023.0,"Drama,Fantasy"
tt0202523,movie,The Perfect Shadow,2024.0,Drama
tt0226822,movie,In the Land of the Blind,2024.0,
tt0287075,movie,Universal Groove,2024.0,"Drama,Fantasy"
tt0327785,movie,The Killer's Game,2024.0,"Action,Comedy,Thriller"
tt0347066,movie,I giganti del cielo,2024.0,Documentary
tt0368133,movie,The Promise of Perfume,2024.0,Documentary
tt0439572,movie,The Flash,2023.0,"Action,Adventure,Fantasy"
tt0451272,movie,Nefarious,2024.0,"Crime,Thriller"
tt0453528,movie,On Moral Grounds,2024.0,"Documentary,History,War"
tt0762118,movie,Moe,2023.0,"Comedy,Drama,Musical"
tt0780471,movie,American Surfrider,2024.0,
tt0783848,movie,"L'homme au bâton, une légende créole",2024.0,Comedy
tt0875612,movie,Rain Falls from Earth: Surviving Cambodia's Darkest Hour,2024.0,Documentary
tt10004906,movie,Neil,2023.0,"Comedy,Drama,Thriller"
tt10005250,movie,A Small Problem,2023.0,
tt10009608,movie,Maybe It's True What They Say About Us,2024.0,"Drama,Thriller"
tt10013512,movie,The Problem with People,2024.0,Comedy
tt10013588,movie,September,2023.0,Horror
tt1001520,movie,The Last Voyage of the Demeter,2023.0,"Fantasy,Horror,Thriller"
tt10023266,movie,The Dog Thief,2024.0,Drama
tt10037498,movie,Power Alley,2023.0,"Drama,Sport"
tt10042482,movie,Falling Stars,2023.0,"Drama,Horror"
tt10044632,movie,The Probe,2024.0,Drama
tt10047464,movie,The Christmas Spirit,2023.0,"Comedy,Thriller"
tt10065936,movie,Fear and Love: The Story of the Exorcist,2024.0,Documentary
tt10071550,movie,Amityville: Where the Echo Lives,2024.0,Horror
tt10073640,movie,The Caravan,2023.0,Documentary
tt10075242,movie,Offline: O Filme,2024.0,"Horror,Thriller"
tt10077090,movie,Verano No Miente,2023.0,"Comedy,Romance"
tt10079652,movie,Art of Eight Limbs,2024.0,"Action,Thriller"
tt10080110,movie,Lady Scorpions,2024.0,"Action,Crime"
tt10080130,movie,The Lockdown,2024.0,"Action,Crime,Drama"
tt10084408,movie,The Polar Story,2023.0,"Drama,Romance"
tt10087728,movie,Phalana Abbayi Phalana Ammayi,2023.0,"Drama,Family,Romance"
tt10092170,movie,The Line,2023.0,Drama
tt10092698,movie,All Fun and Games,2023.0,"Horror,Thriller"
tt10094374,movie,This is Brighton,2023.0,
tt10094388,movie,The Windigo,2024.0,"Horror,Thriller"
tt10095328,movie,The Undertaker's Wife,2024.0,Thriller
tt10097442,movie,I Believe,2023.0,Drama
tt10098448,movie,Jesus Revolution,2023.0,"Biography,Drama,History"
tt10099160,movie,Secret Ways of a Whale Shark,2024.0,Documentary
tt10100128,movie,Disconnected,2023.0,"Drama,Romance"
tt10108062,movie,Lavinya,2024.0,"Drama,Thriller"
tt10110572,movie,Incognito,2023.0,"Action,Horror,Romance"
tt10121904,movie,Record Without Words,2023.0,"Crime,Drama,Mystery"
tt10127774,movie,Tommy Machismo,2023.0,Comedy
tt10127964,movie,Perspectiva,2024.0,"Drama,Sci-Fi"
tt10128846,movie,Megalopolis,2024.0,"Drama,Fantasy,Sci-Fi"
tt10132874,movie,Loud Love,2024.0,Documentary
tt10133702,movie,Pelikan Blue,2023.0,"Animation,Documentary"
tt10137324,movie,Der Spiegel,2023.0,"Drama,Mystery"
tt10140778,movie,Obesity America's Other Enemy,2024.0,Documentary
tt10140990,movie,Mindgame,2023.0,"Crime,Drama"
tt10147370,movie,Pet Farm,2024.0,Documentary
tt10150634,movie,23 Short Films About the End of the World,2023.0,"Comedy,Drama,Fantasy"
tt10150908,movie,"Meeting You, Meeting Me",2024.0,Drama
tt10151854,movie,Shazam! Fury of the Gods,2023.0,"Action,Adventure,Comedy"
tt10152488,movie,Paint It Gold,2023.0,Comedy
tt10155220,movie,Weirdo: The Story of Five Eight,2024.0,Documentary
tt10155748,movie,Seneca,2023.0,"Biography,Drama"
tt10160976,movie,The Nun II,2023.0,"Horror,Mystery,Thriller"
tt10165952,movie,Young Lion of the West,2024.0,"Action,Comedy,Crime"
tt10171472,movie,Goodrich,2024.0,"Comedy,Drama"
tt10172266,movie,"Red, White & Royal Blue",2023.0,"Comedy,Romance"
tt10172522,movie,Fluorescent Beast,2023.0,"Comedy,Mystery"
tt10174052,movie,Once Upon a Time in Hollyweird,2024.0,Thriller
tt10178004,movie,Rapture Camp,2023.0,Comedy
tt10179362,movie,The Lady from the Sea,2023.0,Drama
tt10188456,movie,Being Robin,2024.0,Comedy
tt10193608,movie,I'm Not Alone,2023.0,Thriller
tt10195462,movie,Por Eso Vengo al Río,2023.0,Documentary
tt10198368,movie,Suicide by Cop,2024.0,Thriller
tt10198892,movie,1999,2023.0,Drama
tt10199070,movie,Notes on Displacement,2023.0,Documentary
tt10206898,movie,"Il bambino, i due furfanti e la strega",2024.0,"Drama,Horror"
tt10210064,movie,Bureau 749,2024.0,"Action,Adventure,Drama"
tt10211984,movie,Sleeping Beauties,2023.0,Horror
tt10212042,movie,Velocity Girl,2023.0,"Drama,Romance"
tt10214548,movie,Still Stares,2024.0,Documentary
tt10214972,movie,Teatro del Desencuentro,2024.0,"Documentary,Drama"
tt10223100,movie,The Tenth Lodge,2023.0,Drama
tt10225378,movie,Swimming Home,2024.0,Drama
tt10226550,movie,Minnesota Mean,2023.0,Documentary
tt10228618,movie,The Mick and the Trick,2024.0,"Action,Comedy,Crime"
tt10229260,movie,Tales from Las Cruces,2023.0,"Action,Horror,Thriller"
tt10235688,movie,Doi Boy,2023.0,"Drama,Romance,Thriller"
tt10236164,movie,The Girl with the Needle,2024.0,"Crime,Drama,History"
tt10237478,movie,The Refugee,2024.0,Drama
tt10239112,movie,Shook,2024.0,Drama
tt10241130,movie,Teen Paayancha Ghoda,2023.0,Drama
tt10243672,movie,Joy,2024.0,"Biography,Drama,History"
tt10245072,movie,Salem's Lot,2024.0,"Horror,Thriller"
tt10249642,movie,Office Madness,2024.0,Comedy
tt10256366,movie,Viswadarshanam,2023.0,Biography
tt10261206,movie,Anu,2023.0,"Adventure,Drama"
tt10264442,movie,Le Plein Potentiel,2024.0,Documentary
tt10266388,movie,Love & Vodka,2024.0,"Comedy,Romance"
