nconst,primaryName,primaryProfession,knownForTitles
nm0000665,D.B. Sweeney,"actor,director","tt0104040,tt0106912,tt0463963,tt10128846"
nm0003997,Derrick Peters,director,"tt12361974,tt3778644,tt0439572,tt1371111"
nm0004217,André Øvredal,director,"tt1740707,tt3289956,tt4583446,tt1001520"
nm0012738,Sanam Afrashteh,actress,"tt12361974,tt1458175,tt0451279,tt0439572"
nm0021236,Michel Aller,actor,"tt10151854,tt11245972,tt0448115,tt5814060"
nm0023779,Antoine Amador,actor,"tt0899043,tt0309987,tt10160976,tt1067774"
nm0027989,Rick Andosca,actor,"tt10151854,tt1695843,tt0105128,tt0088478"
nm0046297,Patrick Baehr,actor,"tt12361974,tt10545296,tt1371111,tt0439572"
nm0052650,Cyro Baptista,actor,"tt10128846,tt1084950,tt0445922,tt1756851"
nm0061442,Rich Grosso,"actor,director","tt28698074,tt0164115,tt6170804,tt0120685"
nm0080812,Serge Biavan,actor,"tt15239678,tt0411272,tt12637874,tt0327785"
nm0088247,Malene Blenkov,director,"tt10236164,tt4117294,tt14866994,tt12923656"
nm0088566,Wolf Blitzer,actor,"tt1074638,tt1790886,tt4912910,tt10151854"
nm0106051,Amparo Bravo,actress,"tt0096283,tt12637874,tt0327785,tt0094251"
nm0108419,Mitch Brian,director,"tt1001520,tt0108983,tt0094632,tt2195698"
nm0132023,Casey Camp-Horinek,actress,"tt9018736,tt10094388,tt1201135,tt13623580"
nm0132610,Julia Campbell,actress,"tt0120032,tt10098448,tt0259153,tt1489428"
nm0139622,Bubba Carr,"actor,director","tt10128846,tt1336608,tt1068242,tt1987650"
nm0149126,Peter Cetera,actor,"tt0091326,tt0439572,tt0100405,tt0120188"
nm0164613,William Paul Clark,actor,"tt7131622,tt7405458,tt0327785,tt0110912"
nm0167410,Ross Clyde,director,"tt10128846,tt0123816,tt27786496,tt0115326"
nm0172428,Karl Collins,actor,"tt1478964,tt0439572,tt0120391,tt0436992"
nm0173147,Anna Colona,actress,"tt1578265,tt27197751,tt0485920,tt10198368"
nm0178889,Italia Coppola,actress,"tt10128846,tt0084445,tt0018192"
nm0190790,László Csáki,director,"tt10133702,tt1600521,tt1158718,tt1086309"
nm0199766,Rudolf Danielewicz,actor,"tt1001520,tt7831704,tt4214012,tt0239430"
nm0225823,Frank Didlaukies,actor,"tt1972571,tt1001520,tt0207198,tt15444704"
nm0241085,Surinder Duhra,actor,"tt3228774,tt1212419,tt3203364,tt10243672"
nm0264351,Daniel Ezralow,actor,"tt10128846,tt0758752,tt0445922,tt0170016"
nm0267441,Noureddine Farihi,actor,"tt1001520,tt0149534,tt0406269,tt13278100"
nm0267622,Lynn Farleigh,actress,"tt0078480,tt0482546,tt0439572,tt0112130"
nm0273490,Evelina Fernández,actress,"tt0099582,tt0103671,tt0762118,tt0160498"
nm0287126,Julian Fort,director,"tt2938066,tt0117651,tt10172522,tt12082598"
nm0290184,Jacklyn Francis,actress,"tt1442065,tt10047464,tt0250750,tt0129082"
nm0298815,Robin Fuqua,actress,"tt10151854,tt14998742,tt13405778,tt12975344"
nm0301078,Valérie Gagné,actress,"tt0170960,tt12637874,tt0327785,tt0189276"
nm0325064,Richard Gold,actor,"tt0266987,tt10172266,tt0138097,tt4201188"
nm0333442,Andoni Gracia,actor,"tt0439572,tt0274323,tt0436374,tt2197926"
nm0336829,Michael Gray,actor,"tt0071050,tt10151854,tt13702176,tt32393674"
nm0339105,Johnny Greenlaw,director,"tt10237478,tt3842002,tt1791506,tt9674596"
nm0340930,Willy van der Griendt,actress,"tt0247303,tt0104515,tt0095319,tt0451272"
nm0343379,H. Daniel Gross,director,"tt0220506,tt10080110,tt0120694,tt10079652"
nm0358043,Mark Hamilton,actor,"tt0439572,tt1506437,tt2294256,tt4727530"
nm0360045,Steve Hanks,actor,"tt10098448,tt16154506,tt3290276,tt3153582"
nm0382615,Dermot Hickey,actor,"tt5950044,tt6791350,tt0439572,tt2283336"
nm0393620,Gayle Hooker,actress,"tt10128846,tt0269347,tt0397101,tt0405422"
nm0395257,David Horovitch,actor,"tt2473794,tt0962736,tt10160976,tt0211181"
nm0399940,Peter Hudson,actor,"tt4244994,tt10160976"
nm0402898,Kathryn Hunter,actress,"tt10095582,tt14230458,tt0373889,tt10128846"
nm0404081,Gregory Hustad,actor,"tt0202523,tt0116611"
nm0409832,Susan Irby,actress,"tt0192789,tt7779102,tt10042482,tt0996680"
nm0415592,Demetri Jagger,actor,"tt0439572,tt0376994,tt3014866,tt0121766"
nm0418748,Donnie Jarman,"actor,director","tt15250112,tt3687094,tt0164115,tt1853622"
nm0427625,Bret Jones,actor,"tt0439572,tt16195220,tt3861390,tt12619462"
nm0429417,Victor Jones,actor,"tt10128846,tt30089813,tt8110000,tt0098228"
nm0430906,Philippe Josserand,actor,"tt10160976,tt1726861,tt0217100,tt0423713"
nm0450768,Sara Key,"actress,director","tt10739118,tt10223100,tt13843916,tt14128264"
nm0453647,Robert Kim,actor,"tt0091042,tt0120784,tt10128846,tt0104438"
nm0483562,Robert Lamm,actor,"tt0111438,tt0439572,tt1293847,tt0242445"
nm0483992,Joanne Lamstein,actress,"tt2049403,tt10245072,tt0440963,tt1386588"
nm0495187,Merritt Lear,actress,"tt10151854,tt1677548,tt0103174,tt5982408"
nm0503569,Michael Lerman,actor,"tt8579674,tt0439572,tt0830515,tt1211837"
nm0517536,Danny Logan,actor,"tt8332922,tt15679400,tt10245072,tt5198890"
nm0532651,Paul Machliss,director,"tt0439572,tt9639470,tt3890160,tt8367814"
nm0535887,Joy Magelssen,actress,"tt0448950,tt0244764,tt0780471,tt13009782"
nm0560925,Sue Maund,actress,"tt0439572,tt0408236,tt1255919,tt1895315"
nm0566041,Steve McClure,director,"tt0875612,tt35770545,tt2388677"
nm0567056,Cal McCrystal,"actor,director","tt0089489,tt1213663,tt1872181,tt10172266"
nm0567181,Colleen McCullough,actress,"tt10128846,tt0080024,tt0089336,tt0085101"
nm0637810,Nancy Nugent Title,actress,"tt19847976,tt1262426,tt0439572,tt3797512"
nm0638939,Nzingha,actress,"tt6133466,tt0929632,tt0451272,tt0166943"
nm0641780,William O'Malley,actor,"tt0070047,tt0937375,tt10065936,tt0170980"
nm0651719,Nic Osborne,director,"tt3387520,tt2616582,tt1001520,tt5715066"
nm0651723,Paul Osborne,director,"tt0438486,tt5031388,tt10172522,tt0780577"
nm0654372,Grant Owens,actor,"tt9115530,tt0086730,tt0074301,tt10098448"
nm0658606,Renata Palminiello,actress,"tt10160976,tt22086474,tt10658248,tt10569934"
nm0672922,Sharon Percy,actress,"tt5168192,tt0368249,tt0451272,tt0108773"
nm0679102,Michèle Pezzin,actress,"tt1259014,tt0411272,tt1247640,tt10160976"
nm0691844,Guy Porritt,actor,"tt0053494,tt0267201,tt0787985,tt0451272"
nm0698464,Pavlina Proevska,director,"tt0368133,tt5062018,tt12183014,tt0236283"
nm0700323,Darío Pulgar,actor,"tt0232551,tt0070596,tt0066614,tt0065563"
nm0718672,Ethan Reitz,actor,"tt0811080,tt10210064,tt30444310,tt2767440"
nm0735271,Christine Rodriguez,actress,"tt0118688,tt0112216,tt0110657,tt10245072"
nm0735280,David R. Rodriguez,actor,"tt4012916,tt1356521,tt10212042,tt3295734"
nm0735404,Lucy Rodriguez,actress,"tt0114508,tt0108757,tt0106179,tt0762118"
nm0745751,Jonathan Roumie,actor,"tt5622316,tt10098448,tt13623880,tt4655480"
nm0764309,Zora Santos,actress,"tt12115032,tt0088906,tt10037498"
nm0766611,Anne Cathrine Sauerberg,actress,"tt29344903,tt3877674,tt10236164,tt0108193"
nm0773694,Allen Schneider,actor,"tt0105466,tt0164115,tt0103437"
nm0776885,Bragi F. Schut,director,"tt1001520,tt5500218,tt5886046,tt1871731"
nm0789575,Adam Shaw,actor,"tt1821694,tt0120815,tt4686844,tt1001520"
nm0794865,Brian Shoop,"actor,director","tt11280740,tt16358384,tt14269590,tt10098448"
nm0846559,Tom Taglang,actor,"tt0105698,tt0086734,tt0101073,tt0202523"
nm0849536,Adam Tankell,actor,"tt1517268,tt6443346,tt10151854,tt0258153"
